encoder,angle_input,Window,Throttle_input,Motor_output,Window_lower,Window_upper
36.7,0,0-0,1510,1510,0,0
166.8,0,0-0,1510,1510,0,0
258.5,0,0-0,1510,1510,0,0
347.6,0,0-0,1509,1509,0,0
111.5,0,0-0,1509,1509,0,0
199.5,0,0-0,1510,1510,0,0
285.1,0,0-0,1510,1510,0,0
62.1,0,0-0,1510,1510,0,0
147.4,0,0-0,1510,1510,0,0
233.5,0,0-0,1510,1510,0,0
358.2,0,0-0,1510,1510,0,0
88.5,0,0-0,1510,1510,0,0
160.6,0,0-0,1510,1510,0,0
302.3,0,0-0,1510,1510,0,0
25.6,0,0-0,1510,1510,0,0
115.8,0,0-0,1510,1510,0,0
246.7,0,0-0,1510,1510,0,0
332.6,0,0-0,1509,1509,0,0
95.9,0,0-0,1510,1510,0,0
171.5,0,0-0,1510,1510,0,0
251.3,0,0-0,1510,1510,0,0
338.2,0,0-0,1510,1510,0,0
42.5,0,0-0,1510,1510,0,0
120.7,0,0-0,1510,1510,0,0
243.4,0,0-0,1510,1510,0,0
320.4,0,0-0,1510,1510,0,0
54.3,0,0-0,1510,1510,0,0
179.6,0,0-0,1510,1510,0,0
255.9,0,0-0,1510,1510,0,0
343.5,0,0-0,1510,1510,0,0
102.6,90,0-180,1510,1100,0,180
55.8,90,0-180,1510,1100,0,180
321.8,90,0-180,1510,1510,0,180
127.5,90,0-180,1510,1100,0,180
80.9,89.9,360-180,1510,1100,360,180
203.1,90,0-180,1510,1510,0,180
36.7,90,0-180,1510,1100,0,180
297.6,90,0-180,1510,1510,0,180
188.1,90,0-180,1510,1510,0,180
310.3,90,0-180,1509,1509,0,180
48.5,90,0-180,1510,1100,0,180
109.9,90,0-180,1510,1100,0,180
323.3,90,0-180,1510,1510,0,180
62.3,90,0-180,1510,1100,0,180
113.3,90,0-180,1510,1100,0,180
324,90,0-180,1510,1510,0,180
77.8,90,0-180,1510,1100,0,180
113.7,90,0-180,1510,1100,0,180
347.9,90,0-180,1510,1510,0,180
126.9,90,0-180,1510,1100,0,180
119,90,0-180,1510,1100,0,180
